"","Entity","Code","Year","Deforestation"
"1","Africa","",1990,4096000
"2","Africa","",2000,4314000
"3","Africa","",2010,4444000
"4","Africa","",2015,4414000
"5","Algeria","DZA",1990,14800
"6","Algeria","DZA",2000,14500
"7","Algeria","DZA",2010,1400
"8","Algeria","DZA",2015,5400
"9","Argentina","ARG",1990,213600
"10","Argentina","ARG",2000,327400
"11","Argentina","ARG",2010,242400
"12","Argentina","ARG",2015,134800
"13","Aruba","ABW",1990,0
"14","Aruba","ABW",2000,0
"15","Aruba","ABW",2010,0
"16","Aruba","ABW",2015,0
"17","Asia","",1990,4170000
"18","Asia","",2000,2684000
"19","Asia","",2010,2925000
"20","Asia","",2015,2235000
"21","Australia","AUS",1990,626200
"22","Australia","AUS",2000,632300
"23","Australia","AUS",2010,416840
"24","Austria","AUT",1990,3450
"25","Austria","AUT",2000,7790
"26","Austria","AUT",2010,5800
"27","Austria","AUT",2015,5810
"28","Azerbaijan","AZE",2010,81640
"29","Azerbaijan","AZE",2015,86360
"30","Bahrain","BHR",1990,10
"31","Bahrain","BHR",2000,10
"32","Bahrain","BHR",2010,0
"33","Bahrain","BHR",2015,0
"34","Bangladesh","BGD",1990,7500
"35","Bangladesh","BGD",2000,3200
"36","Bangladesh","BGD",2010,18190
"37","Bangladesh","BGD",2015,0
"38","Belarus","BLR",2000,7200
"39","Belarus","BLR",2010,4100
"40","Belarus","BLR",2015,3500
"41","Belgium","BEL",2010,1810
"42","Belgium","BEL",2015,1500
"43","Belize","BLZ",1990,14070
"44","Belize","BLZ",2000,6790
"45","Belize","BLZ",2010,11710
"46","Belize","BLZ",2015,11160
"47","Bhutan","BTN",1990,0
"48","Bhutan","BTN",2000,190
"49","Bhutan","BTN",2010,340
"50","Bhutan","BTN",2015,430
"51","Bolivia","BOL",1990,270330
"52","Bolivia","BOL",2000,200050
"53","Bolivia","BOL",2010,190690
"54","Bolivia","BOL",2015,242540
"55","Brazil","BRA",1990,4254800
"56","Brazil","BRA",2000,5129300
"57","Brazil","BRA",2010,1867800
"58","Brazil","BRA",2015,1695700
"59","Bulgaria","BGR",1990,0
"60","Bulgaria","BGR",2000,0
"61","Bulgaria","BGR",2010,0
"62","Bulgaria","BGR",2015,0
"63","Burundi","BDI",1990,8250
"64","Burundi","BDI",2000,0
"65","Burundi","BDI",2010,0
"66","Burundi","BDI",2015,0
"67","Cameroon","CMR",1990,90550
"68","Cameroon","CMR",2000,71700
"69","Cameroon","CMR",2010,58000
"70","Cameroon","CMR",2015,58000
"71","Canada","CAN",1990,54420
"72","Canada","CAN",2000,50450
"73","Canada","CAN",2010,41300
"74","Canada","CAN",2015,37520
"75","Cape Verde","CPV",2000,2840
"76","Cape Verde","CPV",2010,1900
"77","Cape Verde","CPV",2015,820
"78","Cayman Islands","CYM",1990,20
"79","Cayman Islands","CYM",2000,20
"80","Cayman Islands","CYM",2010,0
"81","Cayman Islands","CYM",2015,0
"82","Central African Republic","CAF",1990,30000
"83","Central African Republic","CAF",2000,30000
"84","Central African Republic","CAF",2010,30000
"85","Central African Republic","CAF",2015,30000
"86","Chile","CHL",1990,10110
"87","Chile","CHL",2000,14210
"88","Chile","CHL",2010,11270
"89","Chile","CHL",2015,9400
"90","China","CHN",1990,327540
"91","China","CHN",2000,312760
"92","China","CHN",2010,329970
"93","China","CHN",2015,133200
"94","Colombia","COL",1990,229130
"95","Colombia","COL",2000,214330
"96","Colombia","COL",2010,143170
"97","Colombia","COL",2015,199230
"98","Congo","COG",1990,12000
"99","Congo","COG",2000,12000
"100","Congo","COG",2010,12000
"101","Congo","COG",2015,13800
"102","Costa Rica","CRI",1990,9790
"103","Costa Rica","CRI",2000,2650
"104","Costa Rica","CRI",2010,0
"105","Costa Rica","CRI",2015,0
"106","Croatia","HRV",2000,330
"107","Croatia","HRV",2010,90
"108","Croatia","HRV",2015,50
"109","Cuba","CUB",1990,0
"110","Cuba","CUB",2000,0
"111","Cuba","CUB",2010,0
"112","Cuba","CUB",2015,0
"113","Denmark","DNK",1990,30
"114","Denmark","DNK",2000,180
"115","Denmark","DNK",2010,260
"116","Denmark","DNK",2015,620
"117","Djibouti","DJI",1990,0
"118","Djibouti","DJI",2000,0
"119","Djibouti","DJI",2010,0
"120","Djibouti","DJI",2015,160
"121","Dominican Republic","DOM",1990,620
"122","Dominican Republic","DOM",2000,250
"123","Dominican Republic","DOM",2010,18490
"124","Ecuador","ECU",1990,129940
"125","Ecuador","ECU",2000,105080
"126","Ecuador","ECU",2010,96130
"127","Ecuador","ECU",2015,87220
"128","El Salvador","SLV",1990,4500
"129","El Salvador","SLV",2000,4500
