Entity,Code,Year,exported_deforestation
Afghanistan,AFG,2005,2.2968265966248396
Afghanistan,AFG,2006,1.8198999154669764
Afghanistan,AFG,2007,0.9642861323948182
Afghanistan,AFG,2008,0
Afghanistan,AFG,2009,0
Afghanistan,AFG,2010,0
Afghanistan,AFG,2011,0
Afghanistan,AFG,2012,0
Afghanistan,AFG,2013,0.002361220024482691
Albania,ALB,2005,38.67139802514612
Albania,ALB,2006,29.548142342240908
Albania,ALB,2007,24.957672519946982
Albania,ALB,2008,21.712701755743183
Albania,ALB,2009,4.555236287101707
Albania,ALB,2010,7.1150034140173375
Albania,ALB,2011,6.380156373081718
Albania,ALB,2012,7.200615184272465
Albania,ALB,2013,7.4642697329811085
Algeria,DZA,2005,4.631747573942448
Algeria,DZA,2006,10.22509823123437
Algeria,DZA,2007,10.606376392910533
Algeria,DZA,2008,13.952674136895439
Algeria,DZA,2009,27.47551436343656
Algeria,DZA,2010,46.64418309067514
Algeria,DZA,2011,13.41564261833355
Algeria,DZA,2012,16.92532356337415
Algeria,DZA,2013,2.5912378173970865
Angola,AGO,2005,4.600366774393478
Angola,AGO,2006,4.669240205636015
Angola,AGO,2007,62.334209964144975
Angola,AGO,2008,41.8758530128398
Angola,AGO,2009,30.205080264102435
Angola,AGO,2010,24.591860230459133
Angola,AGO,2011,38.99830535630463
Angola,AGO,2012,57.797838149999734
Angola,AGO,2013,32.419815690780524
Argentina,ARG,2005,134980.06752978623
Argentina,ARG,2006,141908.42373048107
Argentina,ARG,2007,136811.88073921582
Argentina,ARG,2008,148212.7845123682
Argentina,ARG,2009,178389.0509864118
Argentina,ARG,2010,155636.71004687934
Argentina,ARG,2011,200074.26656908324
Argentina,ARG,2012,250033.94613331708
Argentina,ARG,2013,166121.86608495872
Armenia,ARM,2005,2.718449907014758
Armenia,ARM,2006,3.880054130897463
Armenia,ARM,2007,3.901232378824858
Armenia,ARM,2008,1.40762476895803
Armenia,ARM,2009,1.485804806314789
Armenia,ARM,2010,2.3350922095009707
Armenia,ARM,2011,1.068930157334961
Armenia,ARM,2012,0.7088487521660625
Armenia,ARM,2013,0.6052859081418944
Aruba,ABW,2005,0
Aruba,ABW,2006,0
Aruba,ABW,2007,0
Aruba,ABW,2008,0
Aruba,ABW,2009,0
Aruba,ABW,2010,0
Aruba,ABW,2011,0
Aruba,ABW,2012,0
Aruba,ABW,2013,0
Australia,AUS,2005,35067.82241191054
Australia,AUS,2006,32969.449339894345
Australia,AUS,2007,26702.751849229928
Australia,AUS,2008,16106.68287424578
Australia,AUS,2009,18281.776378550087
Australia,AUS,2010,20532.10167197668
Australia,AUS,2011,17424.167506016493
Australia,AUS,2012,15317.464821907124
Australia,AUS,2013,37619.5402700942
Austria,AUT,2005,0
Austria,AUT,2006,0
Austria,AUT,2007,0
Austria,AUT,2008,0
Austria,AUT,2009,0
Austria,AUT,2010,0
Austria,AUT,2011,0
Austria,AUT,2012,0
Austria,AUT,2013,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,0
Azerbaijan,AZE,2008,0
Azerbaijan,AZE,2009,0
Azerbaijan,AZE,2010,0
Azerbaijan,AZE,2011,0
Azerbaijan,AZE,2012,0
Azerbaijan,AZE,2013,0
Bahamas,BHS,2005,0
Bahamas,BHS,2006,0
Bahamas,BHS,2007,0
Bahamas,BHS,2008,4.2184633868818935
Bahamas,BHS,2009,5.949136043936278
Bahamas,BHS,2010,2.8028719891854905
Bahamas,BHS,2011,1.2988155778836585
Bahamas,BHS,2012,0.2467245286922548
Bahamas,BHS,2013,0.11020091892206096
Bahrain,BHR,2005,0
Bahrain,BHR,2006,0
Bahrain,BHR,2007,0
Bahrain,BHR,2008,0
Bahrain,BHR,2009,0
Bahrain,BHR,2010,0
Bahrain,BHR,2011,0
Bahrain,BHR,2012,0
Bahrain,BHR,2013,0
Bangladesh,BGD,2005,3.4775949447980565
Bangladesh,BGD,2006,2.944968750876342
Bangladesh,BGD,2007,1.0573084629259029
Bangladesh,BGD,2008,0.9463567096649967
Bangladesh,BGD,2009,3.6855511373851186
Bangladesh,BGD,2010,5.9735959993704455
Bangladesh,BGD,2011,5.685423761673974
Bangladesh,BGD,2012,6.307400742166465
Bangladesh,BGD,2013,14.873517720215204
Barbados,BRB,2005,0.006729281399380227
Barbados,BRB,2006,0.013770575209819835
Barbados,BRB,2007,0.03198087880187028
Barbados,BRB,2008,0.11126172693580916
Barbados,BRB,2009,0.892028936526351
Barbados,BRB,2010,0.8220670400246795
Barbados,BRB,2011,0.15621213512190057
Barbados,BRB,2012,0.015167920714781902
Barbados,BRB,2013,0.002670392749376027
Belarus,BLR,2005,0
Belarus,BLR,2006,0
Belarus,BLR,2007,0
Belarus,BLR,2008,0
Belarus,BLR,2009,0
Belarus,BLR,2010,0
Belarus,BLR,2011,0
Belarus,BLR,2012,0
Belarus,BLR,2013,0
Belgium,BEL,2005,0
Belgium,BEL,2006,0
Belgium,BEL,2007,0
Belgium,BEL,2008,0
Belgium,BEL,2009,0
Belgium,BEL,2010,0
Belgium,BEL,2011,0
Belgium,BEL,2012,0
Belgium,BEL,2013,0
Belize,BLZ,2005,168.34454712661613
Belize,BLZ,2006,62.50342830813207
Belize,BLZ,2007,32.456914286896165
