Entity,Code,Year,imported_deforestation
Afghanistan,AFG,2005,358.92149596180536
Afghanistan,AFG,2006,104.46637564726379
Afghanistan,AFG,2007,157.6413263757118
Afghanistan,AFG,2008,270.48644663160246
Afghanistan,AFG,2009,583.7729544845712
Afghanistan,AFG,2010,1132.6910257886716
Afghanistan,AFG,2011,663.5228874411983
Afghanistan,AFG,2012,687.7361328842524
Afghanistan,AFG,2013,652.5734667452028
Albania,ALB,2005,1224.2247514450737
Albania,ALB,2006,1222.3040421783985
Albania,ALB,2007,1556.6877431998214
Albania,ALB,2008,1210.8637933477976
Albania,ALB,2009,679.0106664965265
Albania,ALB,2010,519.2463574257345
Albania,ALB,2011,352.39225055737325
Albania,ALB,2012,359.2176150446321
Albania,ALB,2013,273.9640269580851
Algeria,DZA,2005,17244.309411030055
Algeria,DZA,2006,15153.087645543408
Algeria,DZA,2007,14109.3499962989
Algeria,DZA,2008,15078.898248073649
Algeria,DZA,2009,18066.455748276825
Algeria,DZA,2010,14828.68192168215
Algeria,DZA,2011,16739.51042082115
Algeria,DZA,2012,20090.36237785509
Algeria,DZA,2013,17952.924035519572
Angola,AGO,2005,3868.14692732392
Angola,AGO,2006,5718.385469785557
Angola,AGO,2007,6797.398314346938
Angola,AGO,2008,9297.891773121199
Angola,AGO,2009,5601.757255705292
Angola,AGO,2010,4202.7827758638305
Angola,AGO,2011,5311.760519934003
Angola,AGO,2012,6231.291229646886
Angola,AGO,2013,5823.8892067475535
Argentina,ARG,2005,2187.9405437899986
Argentina,ARG,2006,3501.9475031220936
Argentina,ARG,2007,6071.241915288323
Argentina,ARG,2008,8054.597083029395
Argentina,ARG,2009,4418.672987378057
Argentina,ARG,2010,3094.9223659904965
Argentina,ARG,2011,1967.6172665824997
Argentina,ARG,2012,1831.0001144467678
Argentina,ARG,2013,2288.38009757534
Armenia,ARM,2005,394.9241922352245
Armenia,ARM,2006,340.7487193876024
Armenia,ARM,2007,354.5662050897795
Armenia,ARM,2008,422.6645452645498
Armenia,ARM,2009,371.654997844516
Armenia,ARM,2010,515.9098275516429
Armenia,ARM,2011,385.1147633973085
Armenia,ARM,2012,386.4560568862988
Armenia,ARM,2013,434.5095624817805
Aruba,ABW,2005,945.5230016467336
Aruba,ABW,2006,930.2895642438159
Aruba,ABW,2007,733.3348643722943
Aruba,ABW,2008,819.2302295396174
Aruba,ABW,2009,247.85487066203257
Aruba,ABW,2010,224.03141384201447
Aruba,ABW,2011,148.55131235975176
Aruba,ABW,2012,146.98547463782222
Aruba,ABW,2013,137.89598724919168
Australia,AUS,2005,3405.3733933894473
Australia,AUS,2006,4388.4790809073675
Australia,AUS,2007,6257.670050293789
Australia,AUS,2008,6108.737875719715
Australia,AUS,2009,6370.030394820053
