"","entity","code","year","human_food","animal_feed","processed"
"1","Africa",NA,1961,33000,6000,14000
"2","Africa",NA,1962,43000,7000,17000
"3","Africa",NA,1963,31000,7000,5000
"4","Africa",NA,1964,43000,6000,14000
"5","Africa",NA,1965,34000,6000,12000
"6","Africa",NA,1966,41000,6000,2000
"7","Africa",NA,1967,47000,6000,4000
"8","Africa",NA,1968,50000,7000,3000
"9","Africa",NA,1969,52000,6000,6000
"10","Africa",NA,1970,52000,6000,8000
"11","Africa",NA,1971,60000,6000,2000
"12","Africa",NA,1972,69000,7000,4000
"13","Africa",NA,1973,70000,6000,16000
"14","Africa",NA,1974,72000,7000,35000
"15","Africa",NA,1975,77000,8000,30000
"16","Africa",NA,1976,86000,9000,41000
"17","Africa",NA,1977,89000,10000,83000
"18","Africa",NA,1978,94000,11000,135000
"19","Africa",NA,1979,93000,11000,194000
"20","Africa",NA,1980,92000,12000,211000
"21","Africa",NA,1981,103000,12000,213000
"22","Africa",NA,1982,110000,12000,269000
"23","Africa",NA,1983,74000,8000,270000
"24","Africa",NA,1984,79000,8000,269000
"25","Africa",NA,1985,94000,10000,290000
"26","Africa",NA,1986,102000,11000,302000
"27","Africa",NA,1987,140000,16000,333000
"28","Africa",NA,1988,164000,19000,363000
"29","Africa",NA,1989,295000,34000,352000
"30","Africa",NA,1990,281000,26000,345000
"31","Africa",NA,1991,192000,19000,402000
"32","Africa",NA,1992,2e+05,20000,475000
"33","Africa",NA,1993,185000,21000,506000
"34","Africa",NA,1994,179000,22000,471000
"35","Africa",NA,1995,294000,33000,597000
"36","Africa",NA,1996,308000,36000,589000
"37","Africa",NA,1997,344000,40000,642000
"38","Africa",NA,1998,394000,45000,636000
"39","Africa",NA,1999,418000,46000,765000
"40","Africa",NA,2000,444000,47000,828000
"41","Africa",NA,2001,453000,48000,996000
"42","Africa",NA,2002,474000,51000,1172000
"43","Africa",NA,2003,493000,85000,1209000
"44","Africa",NA,2004,504000,139000,1039000
"45","Africa",NA,2005,621000,95000,1596000
"46","Africa",NA,2006,641000,109000,1534000
"47","Africa",NA,2007,684000,91000,1807000
"48","Africa",NA,2008,762000,97000,1943000
"49","Africa",NA,2009,658000,89000,2161000
"50","Africa",NA,2010,569000,72000,2586000
"51","Africa",NA,2011,791000,102000,2670000
"52","Africa",NA,2012,826000,121000,2949000
"53","Africa",NA,2013,866000,127000,2948000
"54","Albania","ALB",1961,0,NA,0
